,0,1,2
0,Player,Franchise,Price In Dollars USD
1,Babar Azam,Peshawar Zalmi,"$104,866"
2,Kieron Pollard,Multan Sultan,"$104,866"
3,Hasan Ali,Islamabad United,"$104,866"
4,Asif Ali,Islamabad United,"$104,866"
5,Chris Jordan,Karachi Kings,"$104,866"
6,Shaheen Shah Afridi,Lahore Qalandars,"$104,866"
7,Wahab Riaz,Peshawar Zalmi,"$104,866"
8,Liam Livingstone,Peshawar Zalmi,"$104,866"
9,Sarfraz Ahmed,Quetta Gladiators,"$104,866"
10,Imad Wasim,Karachi Kings,"$104,866"
11,Chris Jordan,Karachi Kings,"$104,866"
12,Colin Munro,Islamabad United,"$104,866"
13,Rashid Khan,Lahore Qalandars,"$104,866"
14,Fakhar Zaman,Lahore Qalandars,"$104,866"
15,James Vince,Quetta Gladiators,"$104,866"
16,Jason Roy,Quetta Gladiators,"$104,866"
17,Hazrat Ullah Zazai,Peshawar Zalmi,"$104,866"
18,Rille Rossouw,Multan Sultans,"$104,866"
19,Mohammad Rizwan,Multan Sultans,"$104,866"
20,Tim David,Multan Sultans,"$104,866"
